best_smiles,reward,gap_reward,sim_reward
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cc5sccc5cc4C3=C(C#N)C#N)c3nsnc23)n(C)c2c1oc1c2oc2c3oc4c(oc5c(C)c(-c6ccc(C=CC=CC=C7C(=O)c8cc9sccc9cc8C7=C(C#N)C#N)c7nsnc67)n(C)c54)c3c3ccccc3c21,-5.239738335029735,1.8186857034507875,0.5263157894736842
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(Cl)c(Cl)cc5C4=C(C#N)C#N)s3)s2)sc2c1oc1c2oc2c3oc4c(oc5c(C)c(-c6ccc(-c7ccc(C=C8C(=O)c9cc(Cl)c(Cl)cc9C8=C(C#N)C#N)s7)s6)sc54)c3c3nn(C)nc3c12,-5.35037477124639,2.1003747712463894,0.5
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)[nH]2)oc2c1n(C)c1c3c(F)c(F)c4c5c(c6oc(-c7ccc(C=CC=CC=C8C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)[nH]7)c(C)c6n5C)n(C)c4c3n(C)c21,-5.172267902580527,1.719142902580527,0.53125
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cc(Br)c(Cl)cc4C3=C(C#N)C#N)s2)oc2c1oc1c2oc2c3oc4c5oc(-c6ccc(C=CC=CC=C7C(=O)c8cc(Br)c(Cl)cc8C7=C(C#N)C#N)s6)c(C)c5oc4c3c3nsnc3c12,-5.265751320422631,1.9808050838634903,0.5053763440860215
Cc1nc2c(nc1C)c1c3oc4c(C)c(C=C5C(=O)c6c(ccc(Br)c6Cl)C5=C(C#N)C#N)n(C)c4c3n(C)c1c1c2c2oc3c(C)c(C=C4C(=O)c5c(ccc(Br)c5Cl)C4=C(C#N)C#N)n(C)c3c2n1C,-5.492254196465575,2.0945269237383037,0.5227272727272727
Cc1c(C=C2C(=O)c3cc(C(F)(F)F)ccc3C2=C(C#N)C#N)oc2c1sc1c2sc2c3sc4c5oc(C=C6C(=O)c7cc(C(F)(F)F)ccc7C6=C(C#N)C#N)c(C)c5sc4c3c3ccccc3c12,-5.471333733154957,2.3657781775994007,0.4777777777777778
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(Br)c(Br)cc5C4=C(C#N)C#N)s3)c3nsnc23)sc2c1sc1c2ncc2c3cnc4c5sc(-c6ccc(-c7ccc(C=C8C(=O)c9cc(Br)c(Br)cc9C8=C(C#N)C#N)s7)c7nsnc67)c(C)c5sc4c3c3nccnc3c21,-5.317305923235387,2.2839725899020538,0.4666666666666667
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4cc(Cl)c(Cl)cc4C3=C(C#N)C#N)c3nsnc23)n(C)c2c1oc1c2oc2c3oc4c(oc5c(C)c(C=CC=Cc6ccc(C=C7C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)c7nsnc67)n(C)c54)c3c(F)c(F)c21,-5.24578011009231,1.8046036395040752,0.5294117647058824
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4cscc4C3=C(C#N)C#N)s2)n(C)c2c1n(C)c1c3c(F)c(F)c4c5c(c6c(c(C)c(C=CC=Cc7ccc(C=C8C(=O)c9cscc9C8=C(C#N)C#N)s7)n6C)n5C)n(C)c4c3n(C)c21,-4.9994074073945365,1.8249888027433736,0.4883720930232558
Cc1nc2c(nc1C)c1c3ncc4c(C)c(-c5ccc(-c6ccc(C=C7C(=O)c8c(csc8Cl)C7=C(C#N)C#N)c7nsnc67)[nH]5)ncc4c3sc1c1sc3c4cnc(-c5ccc(-c6ccc(C=C7C(=O)c8c(csc8Cl)C7=C(C#N)C#N)c7nsnc67)[nH]5)c(C)c4cnc3c21,-5.144496225157771,2.126639082300628,0.4642857142857143
