smiles,gap_dft
c1ccc2c3c(sc2c1)C(C1=NN=C(c2cnc(-c4cnc5nccnc5c4)nc2)C1)=c1cc2c(cc1-3)=C(C1=NN=C(c3cnc(-c4cnc5nccnc5c4)nc3)C1)c1sc3ccccc3c1-2,0.772
C1=CC2=C(C1)c1ccc(-c3ccc4c(c3)C(n3c5c(c6ccccc63)-c3cc6cc7c(cc6cc3=C5c3nc5sc(-c6ccc8[nH]c9ncccc9c8c6)cc5s3)-c3c(sc5ccccc35)C=7c3cc5cnncn5c3)C4)cc1C2,1.223
NC(=O)C(O)(C1=c2cc3cc4c(cc3cc2-c2c1n(-c1ncnnn1)c1ccccc21)=C(C(=O)C=Cc1ccc2ncccc2c1)c1c-4c2ccccc2n1-c1ncnnn1)c1cc2cccc3c2c2c1CC=CC2=CC3,1.248
N#CC(C1=Cc2cccc3c2C2N(C3)c3ccccc3N12)c1cc(C2=c3cc4cc5c(cc4cc3-c3c2oc2ccccc32)=C(c2cc3cc[nH]c3s2)c2oc3ccccc3c2-5)nc(=O)[nH]1,1.298
S=C(c1nc2cc3ccccc3cc2o1)c1sc(C2=c3cc4cc5c(cc4cc3-c3c2sc2ccccc32)=C(c2sc(C(=S)c3nc4cc6ccccc6cc4o3)c3c2OCO3)c2sc3ccccc3c2-5)c2c1OCO2,1.317
C=C1SC(C(CC)NC(=O)C2(C3=c4cc5c(cc4-c4c3sc3ccccc43)=C(C=NN)c3sc4ccccc4c3-5)CCC2)=NC1=O,1.06
N#CC(Cc1sc2cscc2c1C1=c2cc3c(cc2-c2c1sc1ccccc21)=C(c1ccc2c4c5c(ccc14)C=CCC5C=C2)c1sc2ccccc2c1-3)C1=CC=CC2C3CCC(C3)C12,1.154
C(=Cc1cc2c(s1)sc1cscc12)C1=c2cc3cc4c(cc3cc2-c2oc3ccccc3c21)=C(c1nccc(-c2ccc3c(c2)c2cccc5c2n3-c2sccc2S5)n1)c1c-4oc2ccccc12,1.441
C=C(C=CC1=C(C2=c3cc4cc5c(cc4cc3C3=C2c2ccccc2S3(=O)=O)=C(C2=C(C=CC(=C)C(F)(F)C(F)(F)CC)CCC2)c2c-5n(C(CCI)=C(C)CC)c3ccccc23)CCC1)C(F)(F)C(F)(F)CC,1.61
C=C(C=CC1=c2cc3cc4c(cc3cc2-c2c1sc1ccccc21)=C(c1nnc(-c2nc3c(ccc5scnc53)s2)o1)c1sc2ccccc2c1-4)c1cccc2c1Oc1ccccc1C1C=CC=CC21,1.297
CC(C)(C)OC(=O)CCCC(=O)C(C#N)=C(C#N)C1=c2cc3cc4c(cc3cc2C2=C1S(=O)(=O)c1ccccc12)=C(c1cc2c3c5c(cccc15)CC=C3CC=C2)c1oc2ccccc2c1-4,1.455
N#CC(CCOCCOCCOCCO)C1=c2cc3c(cc2-c2c1sc1ccccc21)=C(c1sc(C2=Cc4cc5c(cc4C2)-c2ccccc2C5)c2c1N=NC2)c1sc2ccccc2c1-3,0.98
C=CN(CC)C(=C)C=C(CC)C(CC)=C(CC)c1ccc2c(c1)C(C1=C(C3=c4cc5c(cc4-c4c3sc3ccccc43)=C(c3nc4c6c(cccc6n3)Sc3ccccc3-4)c3sc4ccccc4c3-5)CC(=O)C1)C2,1.024
CCO[Si](CCCNC(=O)c1n[nH]c(C2=c3cc4c(cc3-c3sc5ccccc5c32)=C(c2cc3c(s2)CC(c2cc5n(c2)-c2ccccc2C5)=[SH]3)c2c-4sc3ccccc23)n1)(OCC)OCC,1.18
CCCCCCCCCCC(O)C1CCC(C(CC)(CC)C2=c3cc4cc5c(cc4cc3-c3c2sc2ccccc32)=C(c2c3c(cc4cscc24)C=S=C3)c2c-5c3ccccc3n2CN(CC)CC)CO1,1.285
CC(C)CCCC(C)CC1C2C=CC(O2)C1C1=c2cc3cc4c(cc3cc2-c2oc3ccccc3c21)=C(c1sc(C(=NS(C)(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)F)c2snnc12)c1c-4oc2ccccc12,1.504
C(#CC1=Cc2sc(C3=c4cc5c(cc4-c4c3sc3ccccc43)=C(C3=CCc4ccc6c(c4C=C3)C=CCC=CC6)c3sc4ccccc4c3-5)cc2C1)Cc1ccc[nH]1,1.184
c1ccc2c3c(sc2c1)C(c1ccc2ccc4ncccc4c2n1)=c1cc2c(cc1-3)=C(c1nc3c(s1)C(c1nnc(-c4cc5c(s4)sc4cscc45)[nH]1)CO3)c1sc3ccccc3c1-2,0.873
[C-]#[N+]C(=C(C#N)C#N)n1c2c(c3ccccc31)-c1cc3cc4c(cc3cc1=C2C1=CCC(C2=CC(CCCCCCC#C)CC=C2)=NC1=O)-c1c(n(C([N+]#[C-])=C(C#N)C#N)c2ccccc12)C=4c1ncnc2[nH]ccc12,1.231
O=C1CC(c2ccc3c4c5c(ccc24)C=CCC5=CC3)=C(C(=C2C=CC=N2)C2=c3cc4c(cc3-c3c2sc2ccccc32)=C(c2nc3cccnc3c3ccccc23)c2sc3ccccc3c2-4)N1,0.947
CO[Si](CCCc1coc(C2=c3cc4c(cc3-c3c2sc2ccccc32)=C(C2=C(C3CC5C=CC3C5)CCCC2)c2sc3ccccc3c2-4)n1)(OC)OC,1.075
CCCCCC(F)(F)C(=O)ON=C(C#N)C1=c2cc3c(cc2-c2c1sc1ccccc21)=C(C(=O)N(C)Cc1cc[nH]c1)c1sc2ccccc2c1-3,0.869
